receipt,benchmark,instance_id,query_index,sidecar_verdict,spec_zero_tol_holds_recorded,spec_small_tol_holds_recorded,sha_model_match,sha_spec_match,sha_x_match,fresh_ort_zero_tol_holds,fresh_ort_small_tol_holds,fresh_y_matches_recorded,official_zero,official_small,audit_ok,audit_note
safenlp_2024_423_q0_small_dense_lp_witness_0.json,safenlp_2024,423,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_480_q0_small_dense_lp_witness_0.json,safenlp_2024,480,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_484_q0_small_dense_lp_witness_0.json,safenlp_2024,484,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_684_q0_small_dense_lp_witness_0.json,safenlp_2024,684,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_747_q0_small_dense_lp_witness_0.json,safenlp_2024,747,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_948_q0_small_dense_lp_witness_0.json,safenlp_2024,948,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_993_q0_small_dense_lp_witness_0.json,safenlp_2024,993,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_102_q0_small_dense_lp_witness_0.json,safenlp_2024,102,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_276_q0_small_dense_lp_witness_0.json,safenlp_2024,276,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_292_q0_small_dense_lp_witness_0.json,safenlp_2024,292,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_423_q0_small_dense_lp_witness_0.json,safenlp_2024,423,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_480_q0_small_dense_lp_witness_0.json,safenlp_2024,480,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_484_q0_small_dense_lp_witness_0.json,safenlp_2024,484,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_684_q0_small_dense_lp_witness_0.json,safenlp_2024,684,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_747_q0_small_dense_lp_witness_0.json,safenlp_2024,747,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_948_q0_small_dense_lp_witness_0.json,safenlp_2024,948,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_993_q0_small_dense_lp_witness_0.json,safenlp_2024,993,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_0_q0_small_dense_lp_witness_0.json,sat_relu,0,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_10_q0_small_dense_lp_witness_0.json,sat_relu,10,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_12_q0_small_dense_lp_witness_0.json,sat_relu,12,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_14_q0_hz_walker_lp_0.json,sat_relu,14,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_16_q0_hz_walker_lp_0.json,sat_relu,16,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_18_q0_small_dense_lp_witness_0.json,sat_relu,18,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_20_q0_hz_walker_lp_0.json,sat_relu,20,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_22_q0_hz_walker_lp_0.json,sat_relu,22,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_24_q0_small_dense_lp_witness_0.json,sat_relu,24,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_26_q0_hz_walker_lp_0.json,sat_relu,26,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_28_q0_hz_walker_lp_0.json,sat_relu,28,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_2_q0_hz_walker_lp_0.json,sat_relu,2,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_30_q0_small_dense_lp_witness_0.json,sat_relu,30,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_32_q0_hz_walker_lp_0.json,sat_relu,32,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_34_q0_hz_walker_lp_0.json,sat_relu,34,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_36_q0_hz_walker_lp_0.json,sat_relu,36,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_38_q0_small_dense_lp_witness_0.json,sat_relu,38,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_40_q0_hz_walker_lp_0.json,sat_relu,40,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_42_q0_hz_walker_lp_0.json,sat_relu,42,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_44_q0_small_dense_lp_witness_0.json,sat_relu,44,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_46_q0_hz_walker_lp_0.json,sat_relu,46,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_48_q0_hz_walker_lp_0.json,sat_relu,48,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_4_q0_hz_walker_lp_0.json,sat_relu,4,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_50_q0_hz_walker_lp_0.json,sat_relu,50,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_52_q0_small_dense_lp_witness_0.json,sat_relu,52,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_54_q0_small_dense_lp_witness_0.json,sat_relu,54,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_56_q0_hz_walker_lp_0.json,sat_relu,56,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_58_q0_hz_walker_lp_0.json,sat_relu,58,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_60_q0_hz_walker_lp_0.json,sat_relu,60,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_62_q0_hz_walker_lp_0.json,sat_relu,62,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_64_q0_hz_walker_lp_0.json,sat_relu,64,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_66_q0_hz_walker_lp_0.json,sat_relu,66,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_68_q0_small_dense_lp_witness_0.json,sat_relu,68,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_6_q0_small_dense_lp_witness_0.json,sat_relu,6,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_70_q0_hz_walker_lp_0.json,sat_relu,70,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_72_q0_hz_walker_lp_0.json,sat_relu,72,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_74_q0_small_dense_lp_witness_0.json,sat_relu,74,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_76_q0_small_dense_lp_witness_0.json,sat_relu,76,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_78_q0_hz_walker_lp_0.json,sat_relu,78,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_82_q0_hz_walker_lp_0.json,sat_relu,82,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_84_q0_hz_walker_lp_0.json,sat_relu,84,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_86_q0_hz_walker_lp_0.json,sat_relu,86,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_88_q0_hz_walker_lp_0.json,sat_relu,88,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_8_q0_hz_walker_lp_0.json,sat_relu,8,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_90_q0_hz_walker_lp_0.json,sat_relu,90,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_92_q0_hz_walker_lp_0.json,sat_relu,92,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_94_q0_small_dense_lp_witness_0.json,sat_relu,94,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
sat_relu_96_q0_hz_walker_lp_0.json,sat_relu,96,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
sat_relu_98_q0_hz_walker_lp_0.json,sat_relu,98,0,sat_zero_tol,True,True,True,True,True,False,False,True,sat,sat,False,
tllverifybench_2023_3_q0_small_dense_lp_witness_0.json,tllverifybench_2023,3,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
tllverifybench_2023_5_q0_small_dense_lp_witness_0.json,tllverifybench_2023,5,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
